capability_id,domain,capability,benchmark_behavior,neural_critic_equivalent,status,verification_level,entry_points,owner_files,data_source,journey,evidence,known_limitations,dependencies,regression_risk,last_verified,milestone,notes
"NC-GS-017","Navigation & Search","Search results page","A query produces a usable ranked result page with article links.","search.html renders query-specific metadata and matching canonical story links.","✅","V3","shared header/footer; search.html; category and game links","assets/app.js; assets/publication-nav.js; assets/search-parity.js","static navigation; published article and author metadata","Use the visible navigation/search control → destination renders → canonical internal links remain usable.","E-SRC-REPO; E-BROWSER-SEARCH","None observed in demonstrated scope.","shared header/footer hosts; app bootstrap; content API","high","2026-09-02","M1","Pre-existing shared navigation/search capability."
"NC-GS-018","Navigation & Search","Cross-entity search","Search covers stories as well as relevant games, topics, or people.","Search results expose story matches plus topic and people suggestions from article/author identity.","✅","V3","shared header/footer; search.html; category and game links","search.html; assets/search-parity.js; assets/discovery-intelligence.js","static navigation; published article and author metadata","Use the visible navigation/search control → destination renders → canonical internal links remain usable.","E-SRC-REPO; E-BROWSER-SEARCH","None observed in demonstrated scope.","shared header/footer hosts; app bootstrap; content API","high","2026-09-02","M1","Pre-existing shared navigation/search capability."
"NC-GS-019","Navigation & Search","Reader account entry point","The global header exposes sign-in and account state consistently.","The shared reader account button opens the existing reader auth modal when signed out.","✅","V3","shared header/footer; search.html; category and game links","assets/reader-account.js; assets/reader-auth-v2.js; assets/community-core.js","static navigation; published article and author metadata","Use the visible navigation/search control → destination renders → canonical internal links remain usable.","E-SRC-REPO; E-BROWSER-SIGNED-OUT","None observed in demonstrated scope.","shared header/footer hosts; app bootstrap; content API","high","2026-09-02","M1","Pre-existing shared navigation/search capability."
"NC-GS-020","Navigation & Search","Global footer","A consistent footer provides editorial, policy, commercial, feed, and newsletter destinations.","Shared app bootstrap injects policy, editorial, RSS, and publication links into public pages.","✅","V3","shared header/footer; search.html; category and game links","assets/app.js; public page #shared-footer hosts","static navigation; published article and author metadata","Use the visible navigation/search control → destination renders → canonical internal links remain usable.","E-SRC-REPO; E-BROWSER-PUBLIC","None observed in demonstrated scope.","shared header/footer hosts; app bootstrap; content API","high","2026-09-02","M1","Pre-existing shared navigation/search capability."
"NC-GS-021","Article Core Runtime","Canonical story route","Every published story has a stable crawlable canonical URL.","Generated /stories/<slug>/ shells hydrate the shared article runtime with static metadata.","✅","V3","/stories/<slug>/; article.html?slug=<slug>","scripts/build_story_pages.py; stories/*/index.html; assets/story-router.js","live published articles with per-story and index JSON fallback","Open a published story → shared runtime resolves the slug → metadata and article modules render → internal actions use the clean story identity.","E-SRC-REPO; E-BROWSER-ARTICLE; E-CANONICAL-STATIC","None observed in demonstrated scope.","content API; generated story shells; shared article modules","critical","2026-09-02","M1","Protected Milestone 0 system; no runtime redesign is authorized."
"NC-GS-022","Article Core Runtime","Legacy runtime article route","Legacy/internal article links continue resolving to the same story experience.","article.html?slug=<slug> remains the compatibility runtime and renders the shared article.","✅","V3","/stories/<slug>/; article.html?slug=<slug>","article.html; assets/app.js; assets/content-api.js; assets/story-router.js","live published articles with per-story and index JSON fallback","Open a published story → shared runtime resolves the slug → metadata and article modules render → internal actions use the clean story identity.","E-SRC-REPO; E-CANONICAL-BROWSER","None observed in demonstrated scope.","content API; generated story shells; shared article modules","critical","2026-09-02","M1","Protected Milestone 0 system; no runtime redesign is authorized."
"NC-GS-023","Article Core Runtime","Article title, deck, byline, and dates","Core editorial identity and timestamps render from publication data.","The shared article renderer maps title, description, author, publishedAt, and updatedAt.","✅","V3","/stories/<slug>/; article.html?slug=<slug>","article.html; assets/app.js; assets/content-api.js; assets/story-router.js","live published articles with per-story and index JSON fallback","Open a published story → shared runtime resolves the slug → metadata and article modules render → internal actions use the clean story identity.","E-SRC-REPO; E-BROWSER-ARTICLE; E-CANONICAL-STATIC","None observed in demonstrated scope.","content API; generated story shells; shared article modules","critical","2026-09-02","M1","Protected Milestone 0 system; no runtime redesign is authorized."
"NC-GS-024","Article Core Runtime","Hero media","A story presents its primary visual with useful alternate text/credit.","Localized image metadata and article runtime render hero media with alt/credit fields.","✅","V3","/stories/<slug>/; article.html?slug=<slug>","assets/app.js; assets/local-assets.js; scripts/localize_images.py","live published articles with per-story and index JSON fallback","Open a published story → shared runtime resolves the slug → metadata and article modules render → internal actions use the clean story identity.","E-SRC-REPO; E-BROWSER-ARTICLE; E-CANONICAL-STATIC","None observed in demonstrated scope.","content API; generated story shells; shared article modules","critical","2026-09-02","M1","Protected Milestone 0 system; no runtime redesign is authorized."
"NC-GS-025","Article Core Runtime","Article body rendering","Long-form body content renders safely and legibly across supported formats.","Shared article runtime renders body/content blocks for all published rows.","✅","V3","/stories/<slug>/; article.html?slug=<slug>","article.html; assets/app.js; assets/content-api.js; assets/story-router.js","live published articles with per-story and index JSON fallback","Open a published story → shared runtime resolves the slug → metadata and article modules render → internal actions use the clean story identity.","E-SRC-REPO; E-BROWSER-ARTICLE; E-CANONICAL-STATIC","None observed in demonstrated scope.","content API; generated story shells; shared article modules","critical","2026-09-02","M1","Protected Milestone 0 system; no runtime redesign is authorized."
"NC-GS-026","Article Core Runtime","Reading Map","Long articles expose an in-page navigational outline.","Reading Map is derived from article sections with progress and active-section behavior.","✅","V3","/stories/<slug>/; article.html?slug=<slug>","assets/article-sidebar-interactive.js; assets/article-deep-link.js","live published articles with per-story and index JSON fallback","Open a published story → shared runtime resolves the slug → metadata and article modules render → internal actions use the clean story identity.","E-SRC-REPO; E-BROWSER-ARTICLE; E-CANONICAL-STATIC","None observed in demonstrated scope.","content API; generated story shells; shared article modules","critical","2026-09-02","M1","Protected Milestone 0 system; no runtime redesign is authorized."
"NC-GS-027","Article Core Runtime","Section deep links","Readers can navigate directly to stable article sections.","Heading IDs, Reading Map links, and article deep-link handling preserve section targets.","✅","V3","/stories/<slug>/; article.html?slug=<slug>","assets/article-deep-link.js; assets/article-sidebar-interactive.js","live published articles with per-story and index JSON fallback","Open a published story → shared runtime resolves the slug → metadata and article modules render → internal actions use the clean story identity.","E-SRC-REPO; E-BROWSER-ARTICLE; E-CANONICAL-STATIC","None observed in demonstrated scope.","content API; generated story shells; shared article modules","critical","2026-09-02","M1","Protected Milestone 0 system; no runtime redesign is authorized."
"NC-GS-028","Article Core Runtime","Canonical metadata consistency across article routes","Clean and legacy routes expose one canonical, OG URL, schema identity, and share URL.","Clean story shells and the legacy runtime now consume Story Router's single clean canonical contract.","🟡","V3","/stories/<slug>/; article.html?slug=<slug>","scripts/build_story_pages.py; assets/public-hardening.js; assets/story-router.js; assets/app.js","live published articles with per-story and index JSON fallback","Open the same slug on both routes → wait for hydration → compare canonical, og:url, schema, and Share output.","E-CANONICAL-STATIC; E-CANONICAL-BROWSER; E-PROTECTED-RUNTIME-M2; E-CANONICAL-BROWSER-M3","Exact legacy runtime canonical/OG/schema/breadcrumb/Share ownership passed in a real browser; clean-shell runtime hydration was blocked by the subpath canary, so route parity is not promoted beyond V3.","story shell bootstrap; public-hardening timing; story router","critical","2026-09-02","M3","The pre-existing race remains fixed; no canonical route redesign occurred and the remaining canary limitation is explicit."
"NC-GS-029","Article Core Runtime","Live Supabase and generated fallback parity","The article runtime serves equivalent published content when the live source is unavailable.","content-api prefers Supabase and falls back to exact generated index/detail JSON.","🟡","V2","/stories/<slug>/; article.html?slug=<slug>","assets/content-api.js; scripts/build_runtime_fallback.py; data/articles.json; data/articles/*.json","live published articles with per-story and index JSON fallback","Fetch live published rows through the production mapper → compare exact ordered rows/details → force live failure in browser → verify equivalent render.","E-PARITY-LIVE; E-SRC-REPO","Exact 53/53 data parity is proven, but a controlled browser outage/failover render was not exercised.","Supabase public read; fallback builder; browser fetch interception","critical","2026-09-02","M1","Protected Milestone 0 system; no runtime redesign is authorized."
"NC-GS-030","Article Core Runtime","Article error and retry states","Missing, slow, or failed content produces an honest recoverable state.","Runtime integrity/content modules contain timeout, error, and fallback handling.","🟡","V2","/stories/<slug>/; article.html?slug=<slug>","assets/article-runtime-integrity.js; assets/content-api.js; assets/app.js","live published articles with per-story and index JSON fallback","Induce missing/failed article fetch → observe explicit state → retry or fallback → no false success.","E-SRC-REPO; E-AUDIT-PUBLIC","Handlers are statically verified; destructive/network-fault browser injection was not performed.","fetch timing; fallback assets; integrity watchdog","high","2026-09-02","M1","Protected Milestone 0 system; no runtime redesign is authorized."
"NC-GS-031","Article Formats & Media","Standard news format","Timely reporting supports source context, updates, and standard article structure.","Standard NEWS stories render through the shared runtime with optional news/source metadata.","✅","V3","canonical stories selected by articleFormat/contentBlocks","assets/article-news.js; assets/app.js; assets/developing-story-timeline.js","article_format; body; content_blocks; quick_read; conclusion; media metadata","Open a representative formatted story → format-specific structure renders from existing data → core article runtime remains intact.","E-SRC-REPO; E-BROWSER-ARTICLE","None observed in deterministic scope.","shared article runtime; structured article fields","high","2026-09-02","M1","Existing article formats are inventory, not redesign targets."
"NC-GS-032","Article Formats & Media","Feature and analysis format","Long-form analysis supports sections, media, author context, and recirculation.","Standard FEATURE stories use the full long-form article runtime and Reading Map.","✅","V2","canonical stories selected by articleFormat/contentBlocks","assets/app.js; assets/article-formatting.js; assets/article-editorial.js","article_format; body; content_blocks; quick_read; conclusion; media metadata","Open a representative formatted story → format-specific structure renders from existing data → core article runtime remains intact.","E-SRC-REPO; E-AUDIT-PUBLIC","None observed in deterministic scope.","shared article runtime; structured article fields","high","2026-09-02","M1","Existing article formats are inventory, not redesign targets."
"NC-GS-033","Article Formats & Media","Review format","Reviews combine editorial body with verdict, score, pros/cons, and game facts.","articleFormat=review activates review metadata and dedicated presentation/schema modules.","✅","V3","canonical stories selected by articleFormat/contentBlocks","assets/review-parity.js; assets/review-score-reactor.js; assets/review-intelligence.js","article_format; body; content_blocks; quick_read; conclusion; media metadata","Open a representative formatted story → format-specific structure renders from existing data → core article runtime remains intact.","E-SRC-REPO; E-BROWSER-ARTICLE","None observed in deterministic scope.","shared article runtime; structured article fields","high","2026-09-02","M1","Existing article formats are inventory, not redesign targets."
"NC-GS-034","Article Formats & Media","Game guide format","Guides provide structured steps, requirements, tips, and navigable sections.","articleFormat=game-guide and structured content blocks render guide sections and maps.","✅","V2","canonical stories selected by articleFormat/contentBlocks","assets/app.js; assets/article-formatting.js; studio.html","article_format; body; content_blocks; quick_read; conclusion; media metadata","Open a representative formatted story → format-specific structure renders from existing data → core article runtime remains intact.","E-SRC-REPO; E-AUDIT-PUBLIC","None observed in deterministic scope.","shared article runtime; structured article fields","high","2026-09-02","M1","Existing article formats are inventory, not redesign targets."
"NC-GS-035","Article Formats & Media","Ranked and best-list format","Ordered editorial lists preserve position, item identity, explanation, and media.","articleFormat=ranked-list renders ordered contentBlocks and ranking previews.","✅","V2","canonical stories selected by articleFormat/contentBlocks","assets/ranked-parity.js; assets/collection-ranking-preview.js","article_format; body; content_blocks; quick_read; conclusion; media metadata","Open a representative formatted story → format-specific structure renders from existing data → core article runtime remains intact.","E-SRC-REPO; E-AUDIT-PUBLIC","None observed in deterministic scope.","shared article runtime; structured article fields","high","2026-09-02","M1","Existing article formats are inventory, not redesign targets."
"NC-GS-036","Article Formats & Media","Structured content blocks","The CMS/runtime support reusable typed editorial sections instead of body-only prose.","contentBlocks carry headings, text, subtitles, images, metadata, and ranking positions.","✅","V2","canonical stories selected by articleFormat/contentBlocks","assets/article-formatting.js; assets/studio-formatting.js; data/articles/*.json","article_format; body; content_blocks; quick_read; conclusion; media metadata","Open a representative formatted story → format-specific structure renders from existing data → core article runtime remains intact.","E-SRC-REPO; E-AUDIT-PUBLIC","None observed in deterministic scope.","shared article runtime; structured article fields","high","2026-09-02","M1","Existing article formats are inventory, not redesign targets."
"NC-GS-037","Article Formats & Media","Quick Read summary","Long stories can expose a concise up-front summary.","quickRead data renders the Quick Read module in the shared article page.","✅","V3","canonical stories selected by articleFormat/contentBlocks","assets/app.js; assets/article-editorial.js","article_format; body; content_blocks; quick_read; conclusion; media metadata","Open a representative formatted story → format-specific structure renders from existing data → core article runtime remains intact.","E-SRC-REPO; E-BROWSER-ARTICLE","None observed in deterministic scope.","shared article runtime; structured article fields","high","2026-09-02","M1","Existing article formats are inventory, not redesign targets."
"NC-GS-038","Article Formats & Media","Editorial conclusion block","A structured conclusion or final verdict closes long-form stories.","Conclusion fields and heading styles render a dedicated conclusion module.","✅","V2","canonical stories selected by articleFormat/contentBlocks","assets/article-conclusion.js; assets/studio-conclusion.js","article_format; body; content_blocks; quick_read; conclusion; media metadata","Open a representative formatted story → format-specific structure renders from existing data → core article runtime remains intact.","E-SRC-REPO; E-AUDIT-PUBLIC","None observed in deterministic scope.","shared article runtime; structured article fields","high","2026-09-02","M1","Existing article formats are inventory, not redesign targets."
"NC-GS-039","Article Formats & Media","Image captions, alt text, and credits","Editorial images carry accessible description and attribution.","Hero and block image fields include alt/credit metadata and localized asset mapping.","✅","V3","canonical stories selected by articleFormat/contentBlocks","assets/local-assets.js; assets/article-formatting.js; scripts/localize_images.py","article_format; body; content_blocks; quick_read; conclusion; media metadata","Open a representative formatted story → format-specific structure renders from existing data → core article runtime remains intact.","E-SRC-REPO; E-AUDIT-PUBLIC; E-ARTICLE-BROWSER-M3","Representative exact-branch article media exposed matching alt text, caption, and credit; broader format coverage remains deterministic rather than exhaustive browser proof.","shared article runtime; structured article fields","high","2026-09-02","M3","Promoted to V3 only from observed browser media metadata; no format/runtime redesign."
"NC-GS-040","Article Formats & Media","Image viewer and gallery interaction","Readers can inspect editorial images in an accessible enlarged view or gallery.","The image-viewer module enhances article media with a lightbox-style viewer.","🟡","V3","canonical stories selected by articleFormat/contentBlocks","assets/image-viewer.js; assets/image-viewer.css","article_format; body; content_blocks; quick_read; conclusion; media metadata","Open a story with eligible media → activate image → viewer opens → close by control and keyboard → focus returns.","E-SRC-REPO; E-AUDIT-PUBLIC; E-ARTICLE-BROWSER-M3; E-INTERACTION-M3","Viewer open/close, pointer, keyboard, content, and Escape behavior passed, but Escape leaves focus on BODY rather than restoring the invoking image (BUG-M3-03).","eligible article image markup; accessibility hooks","medium","2026-09-02","M3","V3 records actual interaction without treating the focus-restoration defect as complete."
"NC-GS-041","Reviews & Scoring","Reviews directory","A dedicated review index lets readers browse scored verdicts.","/reviews/ renders score context, highest-rated games, and all verdicts.","✅","V3","/reviews/; review story routes; game review surfaces","reviews/index.html; assets/review-intelligence.js; assets/review-parity.js; assets/public-hardening.js","published review articles; reviewMeta; Game Graph mappings","Open review discovery or a canonical review → score/context/facts render → linked game and story routes remain valid.","E-SRC-REPO; E-BROWSER-PUBLIC; E-BROWSER-ARTICLE; E-PROTECTED-RUNTIME-M2; E-TITLE-BROWSER-M3","Directory behavior was browser-verified on Milestone 1 and the exact shell retained its Reviews title; post-script exact-canary settlement was blocked by the canary base path.","review metadata; article runtime; game identity","high","2026-09-02","M3","Existing review system remains protected; exact evidence is recorded without overstating subpath-canary hydration."
"NC-GS-042","Reviews & Scoring","Review score display","Each scored review presents a clear numeric score and label.","Review score reactor and parity modules render score badges and context.","✅","V3","/reviews/; review story routes; game review surfaces","reviews/index.html; assets/review-intelligence.js; assets/review-parity.js","published review articles; reviewMeta; Game Graph mappings","Open review discovery or a canonical review → score/context/facts render → linked game and story routes remain valid.","E-SRC-REPO; E-BROWSER-PUBLIC; E-BROWSER-ARTICLE","None observed in demonstrated scope.","review metadata; article runtime; game identity","high","2026-09-02","M1","Existing review system is protected from wholesale rewrite."
"NC-GS-043","Reviews & Scoring","Consistent ten-point scoring model","Scores use a documented common scale that is comparable across reviews.","Review metadata and schema use a 0–10 scale with contextual labels.","✅","V2","/reviews/; review story routes; game review surfaces","reviews/index.html; assets/review-intelligence.js; assets/review-parity.js","published review articles; reviewMeta; Game Graph mappings","Open review discovery or a canonical review → score/context/facts render → linked game and story routes remain valid.","E-SRC-REPO; E-AUDIT-PUBLIC","None observed in demonstrated scope.","review metadata; article runtime; game identity","high","2026-09-02","M1","Existing review system is protected from wholesale rewrite."
"NC-GS-044","Reviews & Scoring","Review verdict","A concise verdict explains the score independently of the long body.","reviewMeta.verdict and conclusion render a dedicated verdict treatment.","✅","V3","/reviews/; review story routes; game review surfaces","reviews/index.html; assets/review-intelligence.js; assets/review-parity.js","published review articles; reviewMeta; Game Graph mappings","Open review discovery or a canonical review → score/context/facts render → linked game and story routes remain valid.","E-SRC-REPO; E-BROWSER-PUBLIC; E-BROWSER-ARTICLE","None observed in demonstrated scope.","review metadata; article runtime; game identity","high","2026-09-02","M1","Existing review system is protected from wholesale rewrite."
"NC-GS-045","Reviews & Scoring","Review strengths and weaknesses","Readers can scan explicit positive and negative findings.","reviewMeta pros/cons render The Good/The Bad style lists and Review schema notes.","✅","V3","/reviews/; review story routes; game review surfaces","reviews/index.html; assets/review-intelligence.js; assets/review-parity.js","published review articles; reviewMeta; Game Graph mappings","Open review discovery or a canonical review → score/context/facts render → linked game and story routes remain valid.","E-SRC-REPO; E-BROWSER-PUBLIC; E-BROWSER-ARTICLE","None observed in demonstrated scope.","review metadata; article runtime; game identity","high","2026-09-02","M1","Existing review system is protected from wholesale rewrite."
"NC-GS-046","Reviews & Scoring","Tested platform metadata","A review states the platform/build context used for evaluation.","reviewMeta.testedPlatform is rendered and audited where populated.","🟡","V2","/reviews/; review story routes; game review surfaces","assets/review-parity.js; scripts/audit_review_intelligence.py; data/articles/*.json","published review articles; reviewMeta; Game Graph mappings","Open review discovery or a canonical review → score/context/facts render → linked game and story routes remain valid.","E-SRC-REPO; E-AUDIT-PUBLIC","Three pre-existing reviews lack tested-platform metadata: Baldur's Gate 3, Red Dead Redemption 2, and Super Mario Odyssey.","complete reviewMeta on every review","medium","2026-09-02","M1","Existing review system is protected from wholesale rewrite."
"NC-GS-047","Reviews & Scoring","Developer, publisher, and release facts","Reviews expose core game facts beside editorial judgment.","Review details render developer, publisher, release date, platform, and genre fields when present.","✅","V2","/reviews/; review story routes; game review surfaces","assets/review-parity.js; assets/review-intelligence.js","published review articles; reviewMeta; Game Graph mappings","Open review discovery or a canonical review → score/context/facts render → linked game and story routes remain valid.","E-SRC-REPO; E-BROWSER-PUBLIC; E-BROWSER-ARTICLE","None observed in demonstrated scope.","review metadata; article runtime; game identity","high","2026-09-02","M1","Existing review system is protected from wholesale rewrite."
"NC-GS-048","Reviews & Scoring","Review sorting and filtering","Readers can order or narrow the review archive by useful score/time dimensions.","Reviews intelligence builds score-led and all-verdict groupings from review data.","🟡","V2","/reviews/; review story routes; game review surfaces","reviews/index.html; assets/review-intelligence.js; assets/review-parity.js","published review articles; reviewMeta; Game Graph mappings","Open /reviews/ → change available ranking/filter control → result order/count updates without losing links.","E-SRC-REPO; E-BROWSER-PUBLIC","Directory rendered in browser, but every sort/filter state was not exercised.","complete review metadata; reviews runtime","medium","2026-09-02","M1","Existing review system is protected from wholesale rewrite."
